sample	city	pop	site	range
Albuquerque_15_5	Albuquerque	15	urban	Introduced
Albuquerque_15_7	Albuquerque	15	urban	Introduced
Albuquerque_15_8	Albuquerque	15	urban	Introduced
Albuquerque_15_9	Albuquerque	15	urban	Introduced
Albuquerque_29_5	Albuquerque	29	rural	Introduced
Albuquerque_29_9	Albuquerque	29	rural	Introduced
Albuquerque_29_1	Albuquerque	29	rural	Introduced
Albuquerque_29_12	Albuquerque	29	rural	Introduced
Albuquerque_29_13	Albuquerque	29	rural	Introduced
Albuquerque_29_6	Albuquerque	29	rural	Introduced
Albuquerque_29_7	Albuquerque	29	rural	Introduced
Albuquerque_29_8	Albuquerque	29	rural	Introduced
Albuquerque_32_13	Albuquerque	32	rural	Introduced
Albuquerque_32_3	Albuquerque	32	rural	Introduced
Albuquerque_32_1	Albuquerque	32	rural	Introduced
Albuquerque_32_10	Albuquerque	32	rural	Introduced
Albuquerque_32_11	Albuquerque	32	rural	Introduced
Albuquerque_32_12	Albuquerque	32	rural	Introduced
Albuquerque_32_14	Albuquerque	32	rural	Introduced
Albuquerque_32_7	Albuquerque	32	rural	Introduced
Albuquerque_32_8	Albuquerque	32	rural	Introduced
Albuquerque_32_9	Albuquerque	32	rural	Introduced
Albuquerque_33_2	Albuquerque	33	rural	Introduced
Albuquerque_33_7	Albuquerque	33	rural	Introduced
Albuquerque_33_1	Albuquerque	33	rural	Introduced
Albuquerque_33_10	Albuquerque	33	rural	Introduced
Albuquerque_33_11	Albuquerque	33	rural	Introduced
Albuquerque_33_12	Albuquerque	33	rural	Introduced
Albuquerque_33_14	Albuquerque	33	rural	Introduced
Albuquerque_33_4	Albuquerque	33	rural	Introduced
Albuquerque_33_6	Albuquerque	33	rural	Introduced
Albuquerque_33_9	Albuquerque	33	rural	Introduced
Albuquerque_35_12	Albuquerque	35	rural	Introduced
Albuquerque_35_3	Albuquerque	35	rural	Introduced
Albuquerque_35_10	Albuquerque	35	rural	Introduced
Albuquerque_35_11	Albuquerque	35	rural	Introduced
Albuquerque_35_4	Albuquerque	35	rural	Introduced
Albuquerque_35_5	Albuquerque	35	rural	Introduced
Albuquerque_35_7	Albuquerque	35	rural	Introduced
Albuquerque_35_8	Albuquerque	35	rural	Introduced
Albuquerque_35_9	Albuquerque	35	rural	Introduced
Albuquerque_36_3	Albuquerque	36	rural	Introduced
Albuquerque_36_11	Albuquerque	36	rural	Introduced
Albuquerque_36_1	Albuquerque	36	rural	Introduced
Albuquerque_36_10	Albuquerque	36	rural	Introduced
Albuquerque_36_12	Albuquerque	36	rural	Introduced
Albuquerque_36_13	Albuquerque	36	rural	Introduced
Albuquerque_36_2	Albuquerque	36	rural	Introduced
Albuquerque_36_6	Albuquerque	36	rural	Introduced
Albuquerque_36_7	Albuquerque	36	rural	Introduced
Albuquerque_36_9	Albuquerque	36	rural	Introduced
Antwerp_1_10	Antwerp	1	urban	Native
Antwerp_1_11	Antwerp	1	urban	Native
Antwerp_1_13	Antwerp	1	urban	Native
Antwerp_1_14	Antwerp	1	urban	Native
Antwerp_1_17	Antwerp	1	urban	Native
Antwerp_1_19	Antwerp	1	urban	Native
Antwerp_1_2	Antwerp	1	urban	Native
Antwerp_1_5	Antwerp	1	urban	Native
Antwerp_1_7	Antwerp	1	urban	Native
Antwerp_1_9	Antwerp	1	urban	Native
Antwerp_2_3	Antwerp	2	urban	Native
Antwerp_2_7	Antwerp	2	urban	Native
Antwerp_2_11	Antwerp	2	urban	Native
Antwerp_2_12	Antwerp	2	urban	Native
Antwerp_2_13	Antwerp	2	urban	Native
Antwerp_2_15	Antwerp	2	urban	Native
Antwerp_2_4	Antwerp	2	urban	Native
Antwerp_2_5	Antwerp	2	urban	Native
Antwerp_2_6	Antwerp	2	urban	Native
Antwerp_2_9	Antwerp	2	urban	Native
Antwerp_3_1	Antwerp	3	urban	Native
Antwerp_3_9	Antwerp	3	urban	Native
Antwerp_3_10	Antwerp	3	urban	Native
Antwerp_3_12	Antwerp	3	urban	Native
Antwerp_3_13	Antwerp	3	urban	Native
Antwerp_3_14	Antwerp	3	urban	Native
Antwerp_3_15	Antwerp	3	urban	Native
Antwerp_3_5	Antwerp	3	urban	Native
Antwerp_3_6	Antwerp	3	urban	Native
Antwerp_4_10	Antwerp	4	urban	Native
Antwerp_4_3	Antwerp	4	urban	Native
Antwerp_4_1	Antwerp	4	urban	Native
Antwerp_4_11	Antwerp	4	urban	Native
Antwerp_4_15	Antwerp	4	urban	Native
Antwerp_4_16	Antwerp	4	urban	Native
Antwerp_4_18	Antwerp	4	urban	Native
Antwerp_4_20	Antwerp	4	urban	Native
Antwerp_4_8	Antwerp	4	urban	Native
Antwerp_4_9	Antwerp	4	urban	Native
Antwerp_5_4	Antwerp	5	urban	Native
Antwerp_5_9	Antwerp	5	urban	Native
Antwerp_5_10	Antwerp	5	urban	Native
Antwerp_5_15	Antwerp	5	urban	Native
Antwerp_5_17	Antwerp	5	urban	Native
Antwerp_5_18	Antwerp	5	urban	Native
Antwerp_5_5	Antwerp	5	urban	Native
Antwerp_5_6	Antwerp	5	urban	Native
Antwerp_5_8	Antwerp	5	urban	Native
Antwerp_36_4	Antwerp	36	rural	Native
Antwerp_36_8	Antwerp	36	rural	Native
Antwerp_36_11	Antwerp	36	rural	Native
Antwerp_36_12	Antwerp	36	rural	Native
Antwerp_36_13	Antwerp	36	rural	Native
Antwerp_36_14	Antwerp	36	rural	Native
Antwerp_36_15	Antwerp	36	rural	Native
Antwerp_36_2	Antwerp	36	rural	Native
Antwerp_36_7	Antwerp	36	rural	Native
Antwerp_36_9	Antwerp	36	rural	Native
Antwerp_37_13	Antwerp	37	rural	Native
Antwerp_37_11	Antwerp	37	rural	Native
Antwerp_37_1	Antwerp	37	rural	Native
Antwerp_37_15	Antwerp	37	rural	Native
Antwerp_37_17	Antwerp	37	rural	Native
Antwerp_37_19	Antwerp	37	rural	Native
Antwerp_37_3	Antwerp	37	rural	Native
Antwerp_37_6	Antwerp	37	rural	Native
Antwerp_37_7	Antwerp	37	rural	Native
Antwerp_37_9	Antwerp	37	rural	Native
Antwerp_38_14	Antwerp	38	rural	Native
Antwerp_38_10	Antwerp	38	rural	Native
Antwerp_38_1	Antwerp	38	rural	Native
Antwerp_38_12	Antwerp	38	rural	Native
Antwerp_38_13	Antwerp	38	rural	Native
Antwerp_38_17	Antwerp	38	rural	Native
Antwerp_38_20	Antwerp	38	rural	Native
Antwerp_38_5	Antwerp	38	rural	Native
Antwerp_38_6	Antwerp	38	rural	Native
Antwerp_39_15	Antwerp	39	rural	Native
Antwerp_39_9	Antwerp	39	rural	Native
Antwerp_39_10	Antwerp	39	rural	Native
Antwerp_39_13	Antwerp	39	rural	Native
Antwerp_39_16	Antwerp	39	rural	Native
Antwerp_39_2	Antwerp	39	rural	Native
Antwerp_39_3	Antwerp	39	rural	Native
Antwerp_39_4	Antwerp	39	rural	Native
Antwerp_39_6	Antwerp	39	rural	Native
Antwerp_39_7	Antwerp	39	rural	Native
Antwerp_40_5	Antwerp	40	rural	Native
Antwerp_40_10	Antwerp	40	rural	Native
Antwerp_40_1	Antwerp	40	rural	Native
Antwerp_40_3	Antwerp	40	rural	Native
Antwerp_40_4	Antwerp	40	rural	Native
Antwerp_40_6	Antwerp	40	rural	Native
Antwerp_40_7	Antwerp	40	rural	Native
Antwerp_40_8	Antwerp	40	rural	Native
Antwerp_40_9	Antwerp	40	rural	Native
Armidale_1_15	Armidale	1	urban	Introduced
Armidale_1_14	Armidale	1	urban	Introduced
Armidale_1_10	Armidale	1	urban	Introduced
Armidale_1_12	Armidale	1	urban	Introduced
Armidale_1_17	Armidale	1	urban	Introduced
Armidale_1_2	Armidale	1	urban	Introduced
Armidale_1_4	Armidale	1	urban	Introduced
Armidale_1_6	Armidale	1	urban	Introduced
Armidale_1_7	Armidale	1	urban	Introduced
Armidale_2_20	Armidale	2	urban	Introduced
Armidale_2_14	Armidale	2	urban	Introduced
Armidale_2_1	Armidale	2	urban	Introduced
Armidale_2_10	Armidale	2	urban	Introduced
Armidale_2_13	Armidale	2	urban	Introduced
Armidale_2_18	Armidale	2	urban	Introduced
Armidale_2_3	Armidale	2	urban	Introduced
Armidale_2_4	Armidale	2	urban	Introduced
Armidale_2_6	Armidale	2	urban	Introduced
Armidale_2_7	Armidale	2	urban	Introduced
Armidale_3_9	Armidale	3	urban	Introduced
Armidale_3_4	Armidale	3	urban	Introduced
Armidale_3_1	Armidale	3	urban	Introduced
Armidale_3_10	Armidale	3	urban	Introduced
Armidale_3_15	Armidale	3	urban	Introduced
Armidale_3_15_dup	Armidale	3	urban	Introduced
Armidale_3_17	Armidale	3	urban	Introduced
Armidale_3_19	Armidale	3	urban	Introduced
Armidale_3_2	Armidale	3	urban	Introduced
Armidale_3_6	Armidale	3	urban	Introduced
Armidale_4_20	Armidale	4	urban	Introduced
Armidale_4_8	Armidale	4	urban	Introduced
Armidale_4_10	Armidale	4	urban	Introduced
Armidale_4_12	Armidale	4	urban	Introduced
Armidale_4_16	Armidale	4	urban	Introduced
Armidale_4_19	Armidale	4	urban	Introduced
Armidale_4_2	Armidale	4	urban	Introduced
Armidale_4_3	Armidale	4	urban	Introduced
Armidale_4_5	Armidale	4	urban	Introduced
Armidale_4_7	Armidale	4	urban	Introduced
Armidale_5_10	Armidale	5	urban	Introduced
Armidale_5_13	Armidale	5	urban	Introduced
Armidale_5_12	Armidale	5	urban	Introduced
Armidale_5_16	Armidale	5	urban	Introduced
Armidale_5_4	Armidale	5	urban	Introduced
Armidale_5_5	Armidale	5	urban	Introduced
Armidale_5_8	Armidale	5	urban	Introduced
Armidale_35_11	Armidale	35	rural	Introduced
Armidale_35_16	Armidale	35	rural	Introduced
Armidale_35_8	Armidale	35	rural	Introduced
Armidale_35_1	Armidale	35	rural	Introduced
Armidale_35_12	Armidale	35	rural	Introduced
Armidale_35_15	Armidale	35	rural	Introduced
Armidale_35_20	Armidale	35	rural	Introduced
Armidale_35_3	Armidale	35	rural	Introduced
Armidale_35_5	Armidale	35	rural	Introduced
Armidale_35_6	Armidale	35	rural	Introduced
Armidale_36_6	Armidale	36	rural	Introduced
Armidale_36_12	Armidale	36	rural	Introduced
Armidale_36_13	Armidale	36	rural	Introduced
Armidale_36_15	Armidale	36	rural	Introduced
Armidale_36_17	Armidale	36	rural	Introduced
Armidale_36_3	Armidale	36	rural	Introduced
Armidale_36_5	Armidale	36	rural	Introduced
Armidale_36_7	Armidale	36	rural	Introduced
Armidale_37_17	Armidale	37	rural	Introduced
Armidale_37_1	Armidale	37	rural	Introduced
Armidale_37_11	Armidale	37	rural	Introduced
Armidale_37_12	Armidale	37	rural	Introduced
Armidale_37_16	Armidale	37	rural	Introduced
Armidale_37_20	Armidale	37	rural	Introduced
Armidale_37_3	Armidale	37	rural	Introduced
Armidale_37_5	Armidale	37	rural	Introduced
Armidale_37_7	Armidale	37	rural	Introduced
Armidale_37_8	Armidale	37	rural	Introduced
Armidale_39_11	Armidale	39	rural	Introduced
Armidale_39_17	Armidale	39	rural	Introduced
Armidale_39_13	Armidale	39	rural	Introduced
Armidale_39_19	Armidale	39	rural	Introduced
Armidale_39_2	Armidale	39	rural	Introduced
Armidale_39_3	Armidale	39	rural	Introduced
Armidale_39_6	Armidale	39	rural	Introduced
Armidale_39_7	Armidale	39	rural	Introduced
Armidale_39_9	Armidale	39	rural	Introduced
Armidale_40_16	Armidale	40	rural	Introduced
Armidale_40_9	Armidale	40	rural	Introduced
Armidale_40_1	Armidale	40	rural	Introduced
Armidale_40_11	Armidale	40	rural	Introduced
Armidale_40_13	Armidale	40	rural	Introduced
Armidale_40_18	Armidale	40	rural	Introduced
Armidale_40_20	Armidale	40	rural	Introduced
Armidale_40_3	Armidale	40	rural	Introduced
Armidale_40_5	Armidale	40	rural	Introduced
Armidale_40_7	Armidale	40	rural	Introduced
Athens_6_10	Athens	6	urban	Introduced
Athens_6_4	Athens	6	urban	Introduced
Athens_6_1	Athens	6	urban	Introduced
Athens_6_13	Athens	6	urban	Introduced
Athens_6_16	Athens	6	urban	Introduced
Athens_6_17	Athens	6	urban	Introduced
Athens_6_19	Athens	6	urban	Introduced
Athens_6_5	Athens	6	urban	Introduced
Athens_6_6	Athens	6	urban	Introduced
Athens_7_19	Athens	7	urban	Introduced
Athens_7_3	Athens	7	urban	Introduced
Athens_7_13	Athens	7	urban	Introduced
Athens_7_14	Athens	7	urban	Introduced
Athens_7_18	Athens	7	urban	Introduced
Athens_7_20	Athens	7	urban	Introduced
Athens_7_4	Athens	7	urban	Introduced
Athens_7_5	Athens	7	urban	Introduced
Athens_7_6	Athens	7	urban	Introduced
Athens_8_4	Athens	8	urban	Introduced
Athens_8_19	Athens	8	urban	Introduced
Athens_8_16	Athens	8	urban	Introduced
Athens_8_18	Athens	8	urban	Introduced
Athens_8_2	Athens	8	urban	Introduced
Athens_8_20	Athens	8	urban	Introduced
Athens_8_3	Athens	8	urban	Introduced
Athens_8_7	Athens	8	urban	Introduced
Athens_9_5	Athens	9	urban	Introduced
Athens_9_15	Athens	9	urban	Introduced
Athens_9_12	Athens	9	urban	Introduced
Athens_9_18	Athens	9	urban	Introduced
Athens_9_19	Athens	9	urban	Introduced
Athens_9_2	Athens	9	urban	Introduced
Athens_9_20	Athens	9	urban	Introduced
Athens_9_3	Athens	9	urban	Introduced
Athens_9_7	Athens	9	urban	Introduced
Athens_10_15	Athens	10	urban	Introduced
Athens_10_14	Athens	10	urban	Introduced
Athens_10_13	Athens	10	urban	Introduced
Athens_10_16	Athens	10	urban	Introduced
Athens_10_17	Athens	10	urban	Introduced
Athens_10_2	Athens	10	urban	Introduced
Athens_10_3	Athens	10	urban	Introduced
Athens_10_4	Athens	10	urban	Introduced
Athens_10_5	Athens	10	urban	Introduced
Athens_10_8	Athens	10	urban	Introduced
Athens_21_3	Athens	21	rural	Introduced
Athens_21_18	Athens	21	rural	Introduced
Athens_21_14	Athens	21	rural	Introduced
Athens_21_17	Athens	21	rural	Introduced
Athens_21_5	Athens	21	rural	Introduced
Athens_21_6	Athens	21	rural	Introduced
Athens_21_7	Athens	21	rural	Introduced
Athens_21_8	Athens	21	rural	Introduced
Athens_21_9	Athens	21	rural	Introduced
Athens_22_4	Athens	22	rural	Introduced
Athens_22_6	Athens	22	rural	Introduced
Athens_22_10	Athens	22	rural	Introduced
Athens_22_13	Athens	22	rural	Introduced
Athens_22_14	Athens	22	rural	Introduced
Athens_22_15	Athens	22	rural	Introduced
Athens_22_16	Athens	22	rural	Introduced
Athens_22_17	Athens	22	rural	Introduced
Athens_22_19	Athens	22	rural	Introduced
Athens_22_3	Athens	22	rural	Introduced
Athens_23_5	Athens	23	rural	Introduced
Athens_23_6	Athens	23	rural	Introduced
Athens_23_10	Athens	23	rural	Introduced
Athens_23_11	Athens	23	rural	Introduced
Athens_23_12	Athens	23	rural	Introduced
Athens_23_14	Athens	23	rural	Introduced
Athens_23_15	Athens	23	rural	Introduced
Athens_23_18	Athens	23	rural	Introduced
Athens_23_7	Athens	23	rural	Introduced
Athens_24_17	Athens	24	rural	Introduced
Athens_24_7	Athens	24	rural	Introduced
Athens_24_13	Athens	24	rural	Introduced
Athens_24_12	Athens	24	rural	Introduced
Athens_24_14	Athens	24	rural	Introduced
Athens_24_18	Athens	24	rural	Introduced
Athens_24_19	Athens	24	rural	Introduced
Athens_24_2	Athens	24	rural	Introduced
Athens_24_4	Athens	24	rural	Introduced
Athens_24_9	Athens	24	rural	Introduced
Athens_25_17	Athens	25	rural	Introduced
Athens_25_12	Athens	25	rural	Introduced
Athens_25_16	Athens	25	rural	Introduced
Athens_25_18	Athens	25	rural	Introduced
Athens_25_2	Athens	25	rural	Introduced
Athens_25_20	Athens	25	rural	Introduced
Athens_25_21	Athens	25	rural	Introduced
Athens_25_3	Athens	25	rural	Introduced
Athens_25_6	Athens	25	rural	Introduced
Bogota_1_4	Bogota	1	urban	Introduced
Bogota_1_8	Bogota	1	urban	Introduced
Bogota_1_2	Bogota	1	urban	Introduced
Bogota_1_3	Bogota	1	urban	Introduced
Bogota_1_6	Bogota	1	urban	Introduced
Bogota_3_7	Bogota	3	urban	Introduced
Bogota_3_8	Bogota	3	urban	Introduced
Bogota_3_1	Bogota	3	urban	Introduced
Bogota_3_10	Bogota	3	urban	Introduced
Bogota_3_3	Bogota	3	urban	Introduced
Bogota_3_4	Bogota	3	urban	Introduced
Bogota_3_6	Bogota	3	urban	Introduced
Bogota_4_7	Bogota	4	urban	Introduced
Bogota_4_10	Bogota	4	urban	Introduced
Bogota_4_1	Bogota	4	urban	Introduced
Bogota_4_2	Bogota	4	urban	Introduced
Bogota_4_3	Bogota	4	urban	Introduced
Bogota_4_4	Bogota	4	urban	Introduced
Bogota_4_5	Bogota	4	urban	Introduced
Bogota_4_6	Bogota	4	urban	Introduced
Bogota_4_8	Bogota	4	urban	Introduced
Bogota_4_9	Bogota	4	urban	Introduced
Bogota_5_9	Bogota	5	urban	Introduced
Bogota_5_4	Bogota	5	urban	Introduced
Bogota_5_1	Bogota	5	urban	Introduced
Bogota_5_2	Bogota	5	urban	Introduced
Bogota_5_3	Bogota	5	urban	Introduced
Bogota_5_5	Bogota	5	urban	Introduced
Bogota_5_6	Bogota	5	urban	Introduced
Bogota_5_7	Bogota	5	urban	Introduced
Bogota_5_8	Bogota	5	urban	Introduced
Bogota_36_8	Bogota	36	rural	Introduced
Bogota_36_1	Bogota	36	rural	Introduced
Bogota_36_5	Bogota	36	rural	Introduced
Bogota_36_4	Bogota	36	rural	Introduced
Bogota_36_2	Bogota	36	rural	Introduced
Bogota_36_3	Bogota	36	rural	Introduced
Bogota_36_7	Bogota	36	rural	Introduced
Bogota_38_4	Bogota	38	rural	Introduced
Bogota_38_1	Bogota	38	rural	Introduced
Bogota_38_10	Bogota	38	rural	Introduced
Bogota_38_2	Bogota	38	rural	Introduced
Bogota_38_3	Bogota	38	rural	Introduced
Bogota_38_7	Bogota	38	rural	Introduced
Bogota_39_2	Bogota	39	rural	Introduced
Bogota_39_6	Bogota	39	rural	Introduced
Bogota_39_1	Bogota	39	rural	Introduced
Bogota_39_3	Bogota	39	rural	Introduced
Bogota_39_4	Bogota	39	rural	Introduced
Bogota_39_5	Bogota	39	rural	Introduced
Bogota_39_7	Bogota	39	rural	Introduced
Bogota_39_9	Bogota	39	rural	Introduced
Bogota_40_1	Bogota	40	rural	Introduced
Bogota_40_2	Bogota	40	rural	Introduced
Bogota_40_4	Bogota	40	rural	Introduced
Bogota_40_5	Bogota	40	rural	Introduced
Bogota_40_6	Bogota	40	rural	Introduced
Bogota_40_9	Bogota	40	rural	Introduced
Buen_Air_1_17	Buenos_Aires	1	rural	Introduced
Buen_Air_1_15	Buenos_Aires	1	rural	Introduced
Buen_Air_1_14	Buenos_Aires	1	rural	Introduced
Buen_Air_1_11	Buenos_Aires	1	rural	Introduced
Buen_Air_1_19	Buenos_Aires	1	rural	Introduced
Buen_Air_1_20	Buenos_Aires	1	rural	Introduced
Buen_Air_1_5	Buenos_Aires	1	rural	Introduced
Buen_Air_1_6	Buenos_Aires	1	rural	Introduced
Buen_Air_2_6	Buenos_Aires	2	rural	Introduced
Buen_Air_2_9	Buenos_Aires	2	rural	Introduced
Buen_Air_2_12	Buenos_Aires	2	rural	Introduced
Buen_Air_2_16	Buenos_Aires	2	rural	Introduced
Buen_Air_2_20	Buenos_Aires	2	rural	Introduced
Buen_Air_2_5	Buenos_Aires	2	rural	Introduced
Buen_Air_2_7	Buenos_Aires	2	rural	Introduced
Buen_Air_4_7	Buenos_Aires	4	rural	Introduced
Buen_Air_4_19	Buenos_Aires	4	rural	Introduced
Buen_Air_4_12	Buenos_Aires	4	rural	Introduced
Buen_Air_4_17	Buenos_Aires	4	rural	Introduced
Buen_Air_4_2	Buenos_Aires	4	rural	Introduced
Buen_Air_4_3	Buenos_Aires	4	rural	Introduced
Buen_Air_4_4	Buenos_Aires	4	rural	Introduced
Buen_Air_4_6	Buenos_Aires	4	rural	Introduced
Buen_Air_4_8	Buenos_Aires	4	rural	Introduced
Buen_Air_5_6	Buenos_Aires	5	rural	Introduced
Buen_Air_5_10	Buenos_Aires	5	rural	Introduced
Buen_Air_5_15	Buenos_Aires	5	rural	Introduced
Buen_Air_5_18	Buenos_Aires	5	rural	Introduced
Buen_Air_5_19	Buenos_Aires	5	rural	Introduced
Buen_Air_5_2	Buenos_Aires	5	rural	Introduced
Buen_Air_5_8	Buenos_Aires	5	rural	Introduced
Buen_Air_18_7	Buenos_Aires	18	urban	Introduced
Buen_Air_18_12	Buenos_Aires	18	urban	Introduced
Buen_Air_18_13	Buenos_Aires	18	urban	Introduced
Buen_Air_18_15	Buenos_Aires	18	urban	Introduced
Buen_Air_18_17	Buenos_Aires	18	urban	Introduced
Buen_Air_18_2	Buenos_Aires	18	urban	Introduced
Buen_Air_18_3	Buenos_Aires	18	urban	Introduced
Buen_Air_18_4	Buenos_Aires	18	urban	Introduced
Buen_Air_18_9	Buenos_Aires	18	urban	Introduced
Buen_Air_19_15	Buenos_Aires	19	urban	Introduced
Buen_Air_19_8	Buenos_Aires	19	urban	Introduced
Buen_Air_19_1	Buenos_Aires	19	urban	Introduced
Buen_Air_19_11	Buenos_Aires	19	urban	Introduced
Buen_Air_19_13	Buenos_Aires	19	urban	Introduced
Buen_Air_19_17	Buenos_Aires	19	urban	Introduced
Buen_Air_19_19	Buenos_Aires	19	urban	Introduced
Buen_Air_19_2	Buenos_Aires	19	urban	Introduced
Buen_Air_19_3	Buenos_Aires	19	urban	Introduced
Buen_Air_19_6	Buenos_Aires	19	urban	Introduced
Buen_Air_21_13	Buenos_Aires	21	urban	Introduced
Buen_Air_21_4	Buenos_Aires	21	urban	Introduced
Buen_Air_21_10	Buenos_Aires	21	urban	Introduced
Buen_Air_21_16	Buenos_Aires	21	urban	Introduced
Buen_Air_21_17	Buenos_Aires	21	urban	Introduced
Buen_Air_21_6	Buenos_Aires	21	urban	Introduced
Buen_Air_21_7	Buenos_Aires	21	urban	Introduced
Buen_Air_22_8	Buenos_Aires	22	urban	Introduced
Buen_Air_22_18	Buenos_Aires	22	urban	Introduced
Buen_Air_22_11	Buenos_Aires	22	urban	Introduced
Buen_Air_22_14	Buenos_Aires	22	urban	Introduced
Buen_Air_22_17	Buenos_Aires	22	urban	Introduced
Buen_Air_22_2	Buenos_Aires	22	urban	Introduced
Buen_Air_22_3	Buenos_Aires	22	urban	Introduced
Buen_Air_22_5	Buenos_Aires	22	urban	Introduced
Buen_Air_22_9	Buenos_Aires	22	urban	Introduced
Buen_Air_23_5	Buenos_Aires	23	urban	Introduced
Buen_Air_23_13	Buenos_Aires	23	urban	Introduced
Buen_Air_23_1	Buenos_Aires	23	urban	Introduced
Buen_Air_23_10	Buenos_Aires	23	urban	Introduced
Buen_Air_23_2	Buenos_Aires	23	urban	Introduced
Buen_Air_23_7	Buenos_Aires	23	urban	Introduced
Buen_Air_23_8	Buenos_Aires	23	urban	Introduced
Calgary_2_6	Calgary	2	urban	Introduced
Calgary_2_13	Calgary	2	urban	Introduced
Calgary_2_1	Calgary	2	urban	Introduced
Calgary_2_10	Calgary	2	urban	Introduced
Calgary_2_3	Calgary	2	urban	Introduced
Calgary_2_4	Calgary	2	urban	Introduced
Calgary_2_5	Calgary	2	urban	Introduced
Calgary_2_9	Calgary	2	urban	Introduced
Calgary_23_1	Calgary	23	rural	Introduced
Calgary_23_9	Calgary	23	rural	Introduced
Calgary_23_13	Calgary	23	rural	Introduced
Calgary_23_14	Calgary	23	rural	Introduced
Calgary_23_15	Calgary	23	rural	Introduced
Calgary_23_2	Calgary	23	rural	Introduced
Calgary_23_3	Calgary	23	rural	Introduced
Calgary_23_4	Calgary	23	rural	Introduced
Calgary_23_6	Calgary	23	rural	Introduced
Calgary_23_8	Calgary	23	rural	Introduced
Calgary_24_12	Calgary	24	rural	Introduced
Calgary_24_14	Calgary	24	rural	Introduced
Calgary_24_1	Calgary	24	rural	Introduced
Calgary_24_10	Calgary	24	rural	Introduced
Calgary_24_13	Calgary	24	rural	Introduced
Calgary_24_2	Calgary	24	rural	Introduced
Calgary_24_3	Calgary	24	rural	Introduced
Calgary_24_5	Calgary	24	rural	Introduced
Calgary_24_6	Calgary	24	rural	Introduced
Calgary_24_8	Calgary	24	rural	Introduced
Calgary_25_13	Calgary	25	rural	Introduced
Calgary_25_16	Calgary	25	rural	Introduced
Calgary_25_1	Calgary	25	rural	Introduced
Calgary_25_11	Calgary	25	rural	Introduced
Calgary_25_17	Calgary	25	rural	Introduced
Calgary_25_2	Calgary	25	rural	Introduced
Calgary_25_3	Calgary	25	rural	Introduced
Calgary_25_6	Calgary	25	rural	Introduced
Calgary_25_7	Calgary	25	rural	Introduced
Calgary_27_10	Calgary	27	rural	Introduced
Calgary_27_1	Calgary	27	rural	Introduced
Calgary_27_13	Calgary	27	rural	Introduced
Calgary_27_16	Calgary	27	rural	Introduced
Calgary_27_18	Calgary	27	rural	Introduced
Calgary_27_19	Calgary	27	rural	Introduced
Calgary_27_2	Calgary	27	rural	Introduced
Calgary_27_8	Calgary	27	rural	Introduced
Calgary_27_9	Calgary	27	rural	Introduced
Calgary_28_9	Calgary	28	rural	Introduced
Calgary_28_1	Calgary	28	rural	Introduced
Calgary_28_8	Calgary	28	rural	Introduced
Calgary_28_10	Calgary	28	rural	Introduced
Calgary_28_11	Calgary	28	rural	Introduced
